Маршрут (A — B),Рейтинг,Сделок,Поездок (строк),Водителей (уникальных),Сумма ставок,Средняя ставка
Красноярск — Нижний Новгород,0.001,1,1,1,43000,43000.0
Владимир — Омск,0.001,1,1,1,40000,40000.0
Нижний Новгород — Санкт-Петербург,0.001,1,1,1,40000,40000.0
Ижевск — Сургут,0.0009,1,1,1,37000,37000.0
Свободный — Тюмень,0.0008,1,1,1,35000,35000.0
Биробиджан — Красноярск,0.0008,1,1,1,35000,35000.0
Рязань — Челябинск,0.0008,1,1,1,32000,32000.0
Омск — Уфа,0.0008,1,1,1,35000,35000.0
Москва — Мурманск,0.0008,1,1,1,35000,35000.0
Магнитогорск — Чита,0.0008,1,1,1,35000,35000.0
Новосибирск — Хабаровск,0.0008,1,1,1,35000,35000.0
Краснодар — Уфа,0.0008,1,1,1,34000,34000.0
Санкт-Петербург — Тверь,0.0007,1,1,1,30000,30000.0
Омск — Чита,0.0007,1,1,1,30000,30000.0
Елец — Краснодар,0.0007,1,1,1,30000,30000.0
Уфа — Элиста,0.0007,1,1,1,30000,30000.0
Москва — Сочи,0.0007,1,1,1,30000,30000.0
Пенза — Тюмень,0.0007,1,1,1,29250,29250.0
Абакан — Новосибирск,0.0007,1,1,1,30000,30000.0
Владикавказ — Елец,0.0006,1,1,1,25000,25000.0
Астрахань — Москва,0.0006,1,1,1,25000,25000.0
Новый Уренгой — Тюмень,0.0006,1,1,1,25000,25000.0
Москва — Ульяновск,0.0006,1,1,1,25000,25000.0
Симферополь — Тольятти,0.0006,1,1,1,25000,25000.0
Казань — Челябинск,0.0006,1,1,1,25000,25000.0
Краснодар — Мариуполь,0.0005,1,1,1,20000,20000.0
Красноярск — Чита,0.0005,1,1,1,20000,20000.0
Казань — Тюмень,0.0005,1,1,1,20000,20000.0
Нижневартовск — Сургут,0.0005,1,1,1,20000,20000.0
Махачкала — Сургут,0.0005,1,1,1,20000,20000.0
Нефтеюганск — Тюмень,0.0005,1,1,1,22000,22000.0
Москва — Серпухов,0.0005,1,1,1,20000,20000.0
Новосибирск — Сургут,0.0005,1,1,1,20000,20000.0
Новосибирск — Чита,0.0005,1,1,1,20000,20000.0
Минеральные Воды — Невинномысск,0.0005,1,1,1,20000,20000.0
Ижевск — Москва,0.0005,1,1,1,20000,20000.0
Иркутск — Кемерово,0.0005,1,1,1,20000,20000.0
Казань — Сыктывкар,0.0004,1,1,1,15000,15000.0
Красноярск — Омск,0.0004,1,1,1,15000,15000.0
Геленджик — Краснодар,0.0004,1,1,1,18000,18000.0
Каменск-Шахтинский — Москва,0.0004,1,1,1,15000,15000.0
Новосибирск — Пермь,0.0004,1,1,1,15000,15000.0
Елец — Москва,0.0004,1,1,1,18000,18000.0
Махачкала — Ростов-на-Дону,0.0004,1,1,1,15000,15000.0
Пятигорск — Санкт-Петербург,0.0004,1,1,1,15000,15000.0
Санкт-Петербург — Усть-Луга,0.0004,1,1,1,17000,17000.0
Омск — Челябинск,0.0004,1,1,1,15000,15000.0
Магнитогорск — Челябинск,0.0004,1,1,1,15000,15000.0
Екатеринбург — Тюмень,0.0003,1,1,1,12000,12000.0
Барнаул — Красноярск,0.0003,1,1,1,12000,12000.0
Екатеринбург — Уфа,0.0003,1,1,1,13000,13000.0
Тюмень — Челябинск,0.0003,1,1,1,11250,11250.0
Иркутск — Хабаровск,0.0003,1,1,1,13000,13000.0
Пермь — Пермь,0.0003,1,1,1,13000,13000.0
Тольятти — Ульяновск,0.0003,1,1,1,12000,12000.0
Иркутск — Улан-Удэ,0.0002,1,1,1,9000,9000.0
Пермь — Тюмень,0.0002,1,1,1,10000,10000.0
Екатеринбург — Курган,0.0002,1,1,1,10000,10000.0
Кропоткин — Кропоткин,0.0002,1,1,1,8000,8000.0
Красноярск — Тулун,0.0002,1,1,1,7000,7000.0
Тольятти — Уфа,0.0002,1,1,1,10000,10000.0
Тольятти — Тольятти,0.0002,1,1,1,10000,10000.0
Сургут — Сургут,0.0002,1,1,1,7000,7000.0
Ишим — Ишим,0.0002,1,1,1,10000,10000.0
Барнаул — Барнаул,0.0001,1,1,1,4000,4000.0
Боготол — Красноярск,0.0001,1,1,1,5000,5000.0
Барнаул — Омск,0.0001,1,1,1,5000,5000.0
Нижневартовск — Нижневартовск,0.0001,1,1,1,4500,4500.0
